year,duration_sec,duration_min,danceability,energy,tempo,acousticness,loudness,valence,track_count,duration_sec_ma5,duration_sec_ma10,danceability_ma5,acousticness_ma5,duration_yoy_pct
1926,169.1960126002291,2.8199335433371515,0.5585498281786941,0.2392776288659794,108.49014089347078,0.7406537514318442,-16.407061855670104,0.4963829438717068,873,169.1960126002291,169.1960126002291,0.5585498281786941,0.7406537514318442,
1927,185.16319966442956,3.0860533277404922,0.6499597315436241,0.2561587248322148,114.61146476510068,0.9346063229194631,-14.726812080536913,0.6606590604026845,596,177.17960613232933,177.17960613232933,0.604254779861159,0.8376300371756537,9.437094183730688
1928,217.4983119188504,3.624971865314173,0.5296956889264581,0.20714274725274726,106.19524598478444,0.9461880059171597,-17.316192730346575,0.49295359256128485,1183,190.61917472783634,190.61917472783634,0.5794017495495921,0.8738160267561557,17.46303386041157
1929,168.59624918743228,2.8099374864572044,0.647601516793066,0.24063423618634885,111.39170205850488,0.5907119284940412,-16.606963163596966,0.6388625135427953,923,185.11344334273534,185.11344334273534,0.5964516913604606,0.803040002190627,-22.483881506934956
1930,195.02197848869278,3.2503663081448795,0.5104927744070601,0.32735937672366244,110.23107446221732,0.9434545722559293,-12.683740209597351,0.6187643132928847,1813,187.09515037192682,187.09515037192682,0.5792599079697804,0.8311229162036875,15.673972243523892
1931,180.3447853736089,3.0057464228934814,0.5568858505564388,0.2585416581875994,108.08757392686805,0.8753379968203497,-15.865232114467409,0.5708395866454691,629,189.32490492660276,185.97008953887382,0.5789271124453295,0.8580597652813886,-7.525917452393638
1932,187.39623430962342,3.1232705718270575,0.5610878661087866,0.30584142259414226,116.31734728033473,0.9399769874476986,-13.237328451882846,0.5947690376569038,478,189.77151185564153,186.17382450612376,0.561152739358362,0.8591338981870356,3.9099821607852414
1933,186.9353629032258,3.1155893817204303,0.6036769354838709,0.2868085483870968,115.1226435483871,0.9048012180645161,-12.767583870967742,0.6360958064516129,620,183.65892205251663,186.26901680576154,0.5759489886698445,0.8508565406165071,-0.2459341875761245
1934,188.52473731884058,3.14207895531401,0.530625,0.2577913043478261,116.22696557971014,0.8960341260869564,-14.917798913043478,0.5648012681159421,552,187.64461967879828,186.51965241832588,0.5525536853112312,0.91192098013509,0.8502267259285601
1935,218.69654399486188,3.644942399914365,0.5543175337186897,0.24484519588953116,110.71584778420039,0.7809639563262685,-15.493178548490688,0.5432557482337829,1557,192.3795327800321,189.73734157597946,0.5613186371735572,0.879422856949158,16.004163222884404
1936,242.04508429118775,4.034084738186462,0.5345613984674329,0.30597171475095786,110.21000766283525,0.795426521072797,-13.789825670498084,0.5542587164750958,1044,204.7195925635479,197.02224874507533,0.5568537467557559,0.8634405617996472,10.676227374162073
1937,201.67682939189189,3.361280489864865,0.5578180743243243,0.2875975168918919,114.49480067567569,0.8993749999999999,-13.381052364864864,0.5949635135135135,592,207.5757115800016,198.67361171782156,0.5561997883988635,0.8553201643101076,-16.677989977574427
1938,244.7014569892473,4.078357616487455,0.4897822580645161,0.2798910394265233,112.56181362007167,0.9207578487455197,-13.962646953405018,0.5265446953405017,558,219.1289303972059,201.39392622486125,0.5334208529149926,0.8585114904463083,21.3334510102553
1939,207.87585321100917,3.4645975535168194,0.5109997961264017,0.29587329255861367,113.90439449541284,0.8844465586136595,-13.748091743119266,0.5604007135575944,981,222.99915357563958,205.32188662721896,0.529495812140273,0.8561939769516489,-15.049196776893869
